metric_name,sample_size,observed_mean,observed_median,bootstrap_se,ci_95_lower,ci_95_upper,margin_of_error,unit
True Shooting Pct (TS%),4350,0.6365,0.656,0.00542,0.6263,0.6474,0.0105,%
3-Point Attempt Rate (3PAr),4350,0.1363,0.0,0.00401,0.129,0.1442,0.0076,%
Assist Rate Estimate (AST%),4350,0.075,0.0,0.00217,0.0706,0.079,0.0042,%
Effective FG Pct (eFG%),2290,0.5355,0.5351,0.00011,0.5353,0.5358,0.0002,%
Turnover Rate (TOV%),2290,0.133,0.1319,0.00029,0.1324,0.1336,0.0006,%
Offensive Rebound Rate (ORB%),2290,0.3761,0.3814,0.00129,0.3734,0.3784,0.0025,%
Free Throw Rate (FTR),2290,0.3551,0.3556,0.00039,0.3543,0.3558,0.0008,rate
